Item_ID,Client_ID,Company_Name,Billing_Email,Address,Description,Quantity,Rate,Status
LINE-10001,C-010,Massive Dynamic,billing@massivedynamic.com,"655 Madison Avenue, New York",Microservices Network Mesh Configuration,14,230,Billed
LINE-10002,C-008,Umbrella Corp,redqueen@umbrella.com,Raccoon City Underground Facility,Cloud Infrastructure Architecture Review,44,165,Unbilled
LINE-10003,C-004,Oscorp Industries,billing@oscorp.com,"900 Avenue of the Americas, New York",IT Infrastructure Disaster Recovery Simulation,20,250,Unbilled
LINE-10004,C-004,Oscorp Industries,billing@oscorp.com,"900 Avenue of the Americas, New York",Automated ETL Pipeline Monitoring Setup,30,140,Unbilled
LINE-10005,C-003,Acme Corporation,accounting@acme.com,"123 Industrial Way, Chicago",Database Optimization & Performance Tuning,30,225,Unbilled
LINE-10006,C-004,Oscorp Industries,billing@oscorp.com,"900 Avenue of the Americas, New York",Predictive ML Model Compliance Validation,52,260,Unbilled
LINE-10007,C-013,Virtucon Industries,numbertwo@virtucon.com,"Dr. Evil Volcano Lair, Pacific Ocean",Legacy Software Refactoring & Debt Remediation,29,120,Unbilled
LINE-10008,C-008,Umbrella Corp,redqueen@umbrella.com,Raccoon City Underground Facility,UI/UX Design Framework Component Library,15,90,Unbilled
LINE-10009,C-010,Massive Dynamic,billing@massivedynamic.com,"655 Madison Avenue, New York",Full-Stack Application Load Balancing Deployment,23,225,Billed
LINE-10010,C-005,Tyrell Corporation,payables@tyrell.io,"Top Floor, Tyrell Pyramid, Los Angeles",Legacy Software Refactoring & Debt Remediation,52,140,Unbilled
LINE-10011,C-002,Stark Industries,pepper@stark.com,"10880 Malibu Point, California",Legacy Software Refactoring & Debt Remediation,49,155,Unbilled
LINE-10012,C-014,Reynholm Industries,douglas@reynholm.co.uk,"100 Reynholm Towers, London",Predictive ML Model Compliance Validation,15,275,Unbilled
LINE-10013,C-013,Virtucon Industries,numbertwo@virtucon.com,"Dr. Evil Volcano Lair, Pacific Ocean",Cloud Infrastructure Architecture Review,25,175,Unbilled
LINE-10014,C-005,Tyrell Corporation,payables@tyrell.io,"Top Floor, Tyrell Pyramid, Los Angeles",Corporate System Administration Workshop,54,80,Billed
LINE-10015,C-007,Initech LLC,lumbergh@initech.com,"4120 Freemont Ave, Austin",Enterprise Cybersecurity Penetration Audit,19,205,Unbilled
LINE-10016,C-007,Initech LLC,lumbergh@initech.com,"4120 Freemont Ave, Austin",Full-Stack Application Load Balancing Deployment,48,250,Unbilled
LINE-10017,C-011,Gekko & Co,gordon@gekkoco.com,"40 Wall Street, New York",Corporate System Administration Workshop,32,80,Unbilled
LINE-10018,C-015,Avery Sterling Finance,accounts@sterling.com,"550 Park Avenue, New York",Big Data Warehouse Schema Warehousing,21,235,Billed
LINE-10019,C-012,Soylent Corp,green@soylent.com,"Unit 4B Industrial District, New York",Big Data Warehouse Schema Warehousing,45,235,Unbilled
LINE-10020,C-002,Stark Industries,pepper@stark.com,"10880 Malibu Point, California",Database Optimization & Performance Tuning,4,190,Unbilled
LINE-10021,C-012,Soylent Corp,green@soylent.com,"Unit 4B Industrial District, New York",IT Infrastructure Disaster Recovery Simulation,30,290,Billed
LINE-10022,C-011,Gekko & Co,gordon@gekkoco.com,"40 Wall Street, New York",DevOps CI/CD Automation Architecture Engineering,41,240,Unbilled
LINE-10023,C-008,Umbrella Corp,redqueen@umbrella.com,Raccoon City Underground Facility,Blockchain Ledger Reconciliation Compliance Consulting,42,290,Unbilled
LINE-10024,C-015,Avery Sterling Finance,accounts@sterling.com,"550 Park Avenue, New York",Blockchain Ledger Reconciliation Compliance Consulting,14,325,Billed
LINE-10025,C-009,Hooli Inc,gavin@hooli.xyz,"100 Hooli Way, Mountain View",Predictive ML Model Compliance Validation,58,250,Unbilled
